Name,Version,Operation,Topic,Doc,Description,Environment,Galaxy,Workflow
"DBG2OLC","20180222-conda,20160205-conda","genome-assembly","Sequence assembly","https://github.com/yechengxi/DBG2OLC","Assembly of Large Genomes Using Long Erroneous Reads of the Third Generation Sequencing Technologies","conda","false","false"
"dbgwas","0.5.3-singularity","genetic-variation-analysis","GWAS study","https://gitlab.com/leoisl/dbgwas","DBGWAS is a tool for quick and efficient bacterial GWAS","singularity","false","false"
"dbOTU3","1.5.3-conda","community-profiling","Metagenomics","https://github.com/swo/dbotu3","Distribution-based OTU calling","conda","false","false"
"Deepbinner","0.2.0-conda","demultiplexing","Bioinformatics","https://github.com/rrwick/Deepbinner","Deepbinner is a tool for demultiplexing barcoded Oxford Nanopore sequencing reads.","conda","false","false"
"deepconsensus","0.2.0-singularity","base-calling","Sequence assembly","https://github.com/google/deepconsensus","DeepConsensus uses gap-aware sequence transformers to correct errors in Pacific Biosciences (PacBio) Circular Consensus Sequencing (CCS) data","singularity","false","false"
"DeepMod","0.1.3-conda","methylation-analysis","Epigenetics","https://github.com/WGLab/DeepMod","a deep-learning tool for genomic-scale, strand-sensitive and single-nucleotide based detection of DNA modifications.","conda","false","false"
"DeepMP","master-conda","base-calling","Methylated DNA immunoprecipitation,Epigenetics,DNA,Machine learning,Sequence sites, features and motifs","http://github.com/pepebonet/DeepMP","Deep learning tool to detect DNA base modifications on Nanopore sequencing data.","conda","false","false"
"DeepSignal-plant","0.1.5-conda,0.1.4-conda","methylation-analysis","Epigenetics","https://github.com/PengNi/deepsignal-plant","A deep-learning method for detecting methylation state from Oxford Nanopore sequencing reads of plants.","conda","false","false"
"DeepSignal2","0.1.0-conda","methylation-analysis","Epigenetics","https://github.com/PengNi/deepsignal2","A deep-learning method for detecting methylation state from Oxford Nanopore sequencing reads.","conda","false","false"
"deepTools","3.5.1-conda,3.4.3-conda","standardisation-and-normalisation","Genomics,ChIP-seq","https://deeptools.readthedocs.io/en/latest/","User-friendly tools for the normalization and visualization of deep-sequencing data.","conda","false","false"
"DeepVariant","1.1.0-singularity","variant-calling","DNA polymorphism,Exome sequencing,Genomics,Whole genome sequencing,Genotype and phenotype","https://github.com/google/deepvariant","DeepVariant is a deep learning-based variant caller that takes aligned reads (in BAM or CRAM format), produces pileup image tensors from them, classifies each tensor using a convolutional neural network, and finally reports the results in a standard VCF or gVCF file.","singularity","false","false"
"diamond","2.0.9-singularity,2.0.6-conda,2.0.14-conda,2.0.12-singularity,0.9.24-shell","sequence-alignment-analysis","Proteins,Sequence analysis","https://github.com/bbuchfink/diamond","Sequence aligner for protein and translated DNA searches and functions as a drop-in replacement for the NCBI BLAST software tools. It is suitable for protein-protein search as well as DNA-protein search on short reads and longer sequences including contigs and assemblies, providing a speedup of BLAST ranging up to x20,000.","singularity,conda,shell","false","false"
"DiscoSNP","2.4.4-conda","snp-detection","DNA polymorphism,Genetics,Genetic variation,Sequencing","https://colibread.inria.fr/software/discosnp/","This software is designed for discovering Single Nucleotide Polymorphism (SNP) from raw set(s) of reads obtained with Next Generation Sequencers (NGS).","conda","false","false"
"DRAP","1.91-docker","sequence-assembly-validation","Sequence analysis,Sequence assembly,RNA-seq","http://www.sigenae.org/drap/","De novo RNA-Seq Assembly Pipeline.","docker","false","false"
"drep","3.4.1-conda","genome-comparison","Genomics,Sequence analysis,Metagenomics","https://github.com/MrOlm/drep","Fast and accurate genomic comparisons that enables improved genome recovery from metagenomes through de-replication.","conda","false","false"
"Dsuite","master-shell","genotyping","DNA polymorphism,Phylogenomics,Phylogeny","https://github.com/millanek/Dsuite","Fast calculation of the ABBA-BABA statistics across many populations/species.","shell","false","false"
"eCAMI","master-conda","database-search","Microbial ecology,Sequence sites, features and motifs,Plant biology,Enzymes,Small molecules","https://github.com/yinlabniu/eCAMI","simultaneous classification and motif identification for enzyme annotation.","conda","false","false"
"eggnog-mapper","2.1.8-conda,2.1.0-conda,1.0.3-conda","database-search","Genomics,Metagenomics","http://beta-eggnogdb.embl.de/#/app/emapper","For fast functional annotation of novel sequences. It uses precomputed orthologous groups and phylogenies from the eggNOG database to transfer functional information from fine-grained orthologs only. Its common uses include the annotation of novel genomes, transcriptomes or even metagenomic gene catalogs.","conda","false","false"
"Eigensoft","7.2.1-conda","genetic-variation-analysis","Population genetics","https://www.hsph.harvard.edu/alkes-price/software/","Combindes functionality from population genetics methods (Patterson et al. 2006) and the EIGENSTRAT correection method (Price et al. 2006). The EIGENSTRAT methods uses principal component analysis to model ancestry differences between cases and controls along continuous axes of variation. The resulting correction is specific to a candidate markers variation in frequency across ancestral populations, minimizing spurious associations while maximising power to detect true associations.","conda","false","false"
"ElConcatenero","current-conda","data-handling","Phylogeny","https://github.com/ODiogoSilva/ElConcatenero","ElConcatenero3 is a python program that converts and concatenates common population genetics and phylogenetics data file types (such as Fasta, Phylip and Nexus)","conda","false","false"
"emblmygff3","2.2-conda","formatting","Data submission, annotation and curation","https://github.com/NBISweden/EMBLmyGFF3","Software to convert GFF3 and fasta to legal EMBL format suitable for ENA submission.","conda","false","false"
"EMBOSS","6.5.7-conda","sequence-analysis","Biology,Sequence analysis,Molecular biology","http://emboss.bioinformatics.nl/","Diverse suite of tools for sequence analysis; many programs analagous to GCG; context-sensitive help for each tool.","conda","false","false"
"ena-bulk-webincli","1.0.0-singularity","deposition","Data management","https://github.com/enasequence/ena-bulk-webincli","ENA Webin-CLI Bulk Submission Tool : this tool is a wrapper to bulk submit read, un-annotated genome, targeted sequence or taxonomic reference data to the ENA using Webin-CLI.","singularity","false","false"
"ena-webin-cli","6.3.0-singularity,5.1.0-conda","deposition","Data management","https://github.com/enasequence/webin-cli","Data submissions to ENA can be made using the Webin command line submission interface (Webin-CLI). Webin submission account credentials are required to use the program.","singularity,conda","false","false"
"ensembl-vep","106.1-conda,105.0-conda","genetic-variation-analysis","Genetic variation","https://github.com/Ensembl/ensembl-vep","VEP (Variant Effect Predictor) predicts the functional effects of genomic variants","conda","false","false"
"est-sfs","2.03-shell","statistics-and-probability","Population genetics","https://sourceforge.net/projects/est-usfs/","Etimation of the unfolded site frequency spectrum","shell","false","false"
"evo","current-singularity","data-handling","Bioinformatics","https://github.com/millanek/evo","A loose set of tools for (mainly evolutionary) genomics","singularity","false","false"
"fasta-splitter","0.2.4-conda","data-handling","Bioinformatics","http://kirill-kryukov.com/study/tools/fasta-splitter/","Divides a large FASTA file into a set of smaller, approximately equally sized files","conda","false","false"
"Fasta Statistics","2.0-conda","validation","Bioinformatics","https://github.com/galaxyproject/tools-iuc/tree/master/tools/fasta_stats/","Display summary statistics for a fasta file.","conda","true","false"
"FastANI","1.3-conda","genome-alignment","Microbiology,Genetic variation","https://github.com/ParBLiSS/FastANI","FastANI is developed for fast alignment-free computation of whole-genome Average Nucleotide Identity (ANI). ANI is defined as mean nucleotide identity of orthologous gene pairs shared between two microbial genomes. FastANI supports pairwise comparison of both complete and draft genome assemblies.","conda","true","false"
"fastp","0.23.2-conda,0.20.1-conda,0.20.0-conda,0.19.5-conda","sequence-trimming","Sequence analysis,Probes and primers","https://github.com/OpenGene/fastp","A tool designed to provide fast all-in-one preprocessing for FastQ files. This tool is developed in C++ with multithreading supported to afford high performance.","conda","false","false"
"fastq-pair","1.0-conda","quality-control","Bioinformatics","https://github.com/linsalrob/fastq-pair","Match up paired end fastq files quickly and efficiently","conda","false","false"
"FastQC","0.11.9-conda,0.11.8-conda,0.11.6-conda,0.11.5-conda","sequence-composition-calculation","Sequence analysis,Data quality management,Sequencing","http://www.bioinformatics.babraham.ac.uk/projects/fastqc/","This tool aims to provide a QC report which can spot problems or biases which originate either in the sequencer or in the starting library material. It can be run in one of two modes. It can either run as a stand alone interactive application for the immediate analysis of small numbers of FastQ files, or it can be run in a non-interactive mode where it would be suitable for integrating into a larger analysis pipeline for the systematic processing of large numbers of files.","conda","true","false"
"","0.2.6-conda","","","","","conda","true","false"
"fastsimcoal2","fsc2603-shell","genotyping","DNA polymorphism,Gene transcripts,Genotype and phenotype,Mapping","http://cmpg.unibe.ch/software/fastsimcoal2/","Fastsimcoal2 extends fastsimcoal, a continuous time coalescent-based genetic simulation program, by enabling the estimation of demographic parameters under very complex scenarios from the site frequency spectrum under a maximum-likelihood framework.","shell","false","false"
"faststructure","1.0-conda","genetic-variation-analysis","Population genetics","http://rajanil.github.io/fastStructure/","fastStructure is an algorithm for inferring population structure from large SNP genotype data. It is based on a variational Bayesian framework for posterior inference and is written in Python2.x.","conda","false","false"
"FASTX-Toolkit","0.0.14-conda","read-pre-processing","Sequence analysis","http://hannonlab.cshl.edu/fastx_toolkit/","Collection of command line tools for Short-Reads FASTA/FASTQ files preprocessing.","conda","true","false"
"FeGenie","1.1-conda","read-binning","Sequence sites, features and motifs,Sequence assembly,Metagenomics","https://github.com/Arkadiy-Garber/FeGenie","a comprehensive tool for the identification of iron genes and iron gene neighborhoods in genomes and metagenome assemblies | HMM-based identification and categorization of iron genes and iron gene operons in genomes and metagenomes | Please see the Wiki page for introduction and tutorial on how to use this tool | git clone https://github.com/Arkadiy-Garber/FeGenie.git | Easy Installation (if you have Conda installed) | HMM-lib directory can be found within FeGenie's main repository -t 8 means that 8 threads will be used for HMMER and BLAST. If you have less than 16 available on your system, set this number lower (default = 1)","conda","false","false"
"FIGARO","1.1.2-singularity","data-handling","Metagenomics","https://github.com/Zymo-Research/figaro","An efficient and objective tool for optimizing microbiome rRNA gene trimming parameters","singularity","false","false"
"FigTree","1.4.4-conda","phylogenetic-tree-visualisation","Phylogenetics,Data visualisation","http://tree.bio.ed.ac.uk/software/figtree/","This tool is designed as a graphical viewer of phylogenetic trees and as a program for producing publication-ready figures.","conda","false","false"
"Fiji","20170530-conda","quantification","Cell biology,Imaging","https://fiji.sc","A quantitative method to analyse F-actin distribution in cells.","conda","false","false"
"FImpute","2.2-shell","imputation","Population genetics","http://www.aps.uoguelph.ca/~msargol/fimpute/","Developed for large scale genotype imputation in livestock where hundreds of thousands of individuals are genotypes with different panels. It uses an overlapping sliding window approach to exploit relationships or haplotype similarities between target and reference individuals. The process starts with long windows to capture haplotype similarity between close relatives.","shell","false","false"
"FImpute3","2019-09-22019-09-24-shell","genotyping","Genotype and phenotype","http://www.aps.uoguelph.ca/~msargol/fimpute/","a large scale genotype imputation tool using information from relatives","shell","false","false"
"FLASh","1.2.11-conda","read-pre-processing","Sequence assembly,Sequencing","http://ccb.jhu.edu/software/FLASH/","Identifies paired-end reads which overlap in the middle, converting them to single long reads","conda","true","false"
"FlowCraft","1.4.1-conda","workflows","Bioinformatics","https://github.com/assemblerflow/flowcraft","FlowCraft: a component-based pipeline composer for omics analysis using Nextflow","conda","false","false"
"Flye","2.9.1-conda,2.9-conda,2.8.3-conda,2.8.2-conda,2.8.1-conda,2.8-conda,2.7.1-conda,2.7-conda,2.6-conda,2.5-conda,2.3.3-conda","genome-assembly","Whole genome sequencing,Sequence assembly,Metagenomics","https://github.com/fenderglass/Flye","Flye is a de novo assembler for single molecule sequencing reads, such as those produced by PacBio and Oxford Nanopore Technologies. It is designed for a wide range of datasets, from small bacterial projects to large mammalian-scale assemblies. The package represents a complete pipeline: it takes raw PB / ONT reads as input and outputs polished contigs.","conda","false","false"
"FMLRC","1.0.0-conda","read-correction","Sequence assembly","https://github.com/holtjma/fmlrc","Tool for performing hybrid correction of long read sequencing","conda","false","false"
"FoldX","5.0-conda","protein-folding-analysis","Proteins,Structure prediction,Protein folds and structural domains,Genetic variation,Protein folding, stability and design","http://foldxsuite.crg.eu/","FOLD-X is a program for calculating the folding energies of proteins and for calculating the effect of a point mutation on the stability of a protein.","conda","false","false"
"FragGeneScan","1.31-conda","gene-prediction","Genetics,Sequence analysis","https://sourceforge.net/projects/fraggenescan/","Application for finding (fragmented) genes in short reads","conda","false","false"
"freebayes","1.3.5-conda,1.3.2-conda,1.3.1-conda,1.1.0-conda","variant-calling","Rare diseases,Genomics,Genetic variation","https://github.com/ekg/freebayes","Bayesian genetic variant detector designed to find small polymorphisms, specifically SNPs, indels, multi-nucleotide polymorphisms, and complex events (composite insertion and substitution events) smaller than the length of a short-read sequencing alignment.","conda","true","false"
"FROGS","4.0.1-conda,3.2.1-conda,2.0.0-conda,1.4.0-conda","taxonomic-classification","Evolutionary biology,Sequencing,Microbial ecology,Taxonomy,Metagenomics","http://frogs.toulouse.inra.fr/","The user-friendly and Galaxy-supported pipeline FROGS analyses large sets of DNA amplicons sequences accurately and rapidly, essential for microbe community studies.","conda","false","false"
"funannotate","1.8.9-conda,1.8.7-conda,1.8.12-singularity,1.8.11-conda","genome-annotation","Genomics","https://github.com/nextgenusfs/funannotate","funannotate is a pipeline for genome annotation (built specifically for fungi, but will also work with higher eukaryotes).","conda,singularity","true","false"
"galba","1.0.0-singularity","genome-annotation","Gene transcripts,Genomics,Workflows","https://github.com/Gaius-Augustus/GALBA","GALBA is a pipeline for fully automated prediction of protein coding gene structures with AUGUSTUS in novel eukaryotic genomes for the scenario where high quality proteins from a closely related species are available.","singularity","false","false"
"GAPPadder","master-conda","scaffold-gap-completion","Sequence assembly","https://github.com/simoncchu/GAPPadder","GAPPadder is designed for closing gaps on the draft genomes with paired-end reads or mate-paired reads.","conda","false","false"
"gapseq","1.1-conda","metabolic-network-modelling","Endocrinology and metabolism,Microbial ecology,Genotype and phenotype,Enzymes,Molecular interactions, pathways and networks","https://github.com/jotech/gapseq","Informed prediction of bacterial metabolic pathways and reconstruction of accurate metabolic models.","conda","false","false"
"GATB Minia assembly pipeline","1.4.1-conda","sequence-assembly","Sequence assembly","https://github.com/GATB/gatb-minia-pipeline","de novo assembly pipeline for Illumina data","conda","false","false"
"GATK","4.2.0.0-conda,4.1.3.0-conda,4.0.2.1-conda,3.7-conda","polymorphism-detection","Workflows,Genetic variation,Sequence analysis,Sequencing","https://software.broadinstitute.org/gatk/","The Genome Analysis Toolkit (GATK) is a set of bioinformatic tools for analyzing high-throughput sequencing (HTS) and variant call format (VCF) data. The toolkit is well established for germline short variant discovery from whole genome and exome sequencing data. GATK4 expands functionality into copy number and somatic analyses and offers pipeline scripts for workflows.  ","conda","false","false"
"Gblocks","0.91b-conda","sequence-alignment-analysis","Sequence analysis","http://www.embl-heidelberg.de/~castresa/Gblocks/Gblocks.html","Cleaning aligned sequences.","conda","true","false"
"gemBS","3.5.5-conda","whole-genome-methylation-analysis","Epigenetics","https://github.com/heathsc/gemBS","A high performance bioinformatic pipeline designed for highthroughput analysis of DNA methylation data from whole genome bisulfites sequencing data (WGBS).","conda","false","false"
"Gemma","0.98.5-shell","differential-gene-expression-analysis","Genomics,Genetics,Gene expression","http://chibi.ubc.ca/Gemma","Gemma is an open source database, analysis software system and web site for expression data re-use and meta-analysis. It currently contains analyzed data from over 3300 expression profiling studies, yielding billions of data points that can be searched and explored. Gemma offers web-based access to differential expression results and coexpression data in a meta-analysis framework.","shell","false","false"
"genBlast","1.39-shell","gene-prediction","Functional genomics","http://genome.sfu.ca/genblast/index.html","enabling BLAST to identify homologous gene sequences","shell","false","false"
"GeneMark","4.38-conda","gene-prediction","Gene structure","http://exon.gatech.edu/GeneMark/","A family of gene prediction programs: Gene Prediction in Bacteria, Archaea, Metagenomes and Metatranscriptomes; Gene Prediction in Eukaryotes; Gene Prediction in Transcripts; Gene Prediction in Viruses, Phages and Plasmids.","conda","false","false"
"GeneMarkS-T","5.1-conda","sequence-assembly","Model organisms,Sequence assembly,Gene expression","http://topaz.gatech.edu/GeneMark/","Sets of assembled eukaryotic transcripts can be analyzed by the modified GeneMarkS algorithm (the set should be large enough to permit self-training). A single transcript can be analyzed by a special version of GeneMark.hmm with Heuristic models. A new advanced algorithm GeneMarkS-T was developed recently (manuscript sent to publisher).","conda","false","false"
"GenericRepeatFinder","1.0-conda","repeat-sequence-analysis","Sequence composition, complexity and repeats","https://github.com/bioinfolabmu/GenericRepeatFinder","C++ program package for detecting terminal inverted repeats (TIRs), terminal direct repeats (TDRs), interspersed repeats, miniature inverted repeat transposable elements (MITEs), and long terminal repeat (LTR) transposons in genomes","conda","false","false"
"genomad","1.5.1-conda,1.5.0-conda","sequence-annotation","Sequence analysis","https://portal.nersc.gov/genomad/","geNomad is a tool that identifies virus and plasmid genomes from nucleotide sequences. It provides state-of-the-art classification performance and can be used to quickly find mobile genetic elements from genomes, metagenomes, or metatranscriptomes.","conda","false","false"
"genomescope2","2.0-conda","sequence-assembly","Sequence assembly","https://github.com/tbenavi1/genomescope2.0","Reference-free profiling of polyploid genomes","conda","true","false"
"GenomeThreader","1.7.3-shell","sequence-feature-detection","Gene structure,Structure prediction","http://genomethreader.org/","Software tool to compute gene structure predictions. The gene structure predictions are calculated using a similarity-based approach where additional cDNA/EST and/or protein sequences are used to predict gene structures via spliced alignments.","shell","false","false"
"genometools","1.6.1-conda","sequence-analysis","Sequence analysis,Nucleic acid sites, features and motifs","http://genometools.org/","Free collection of bioinformatics tools for genome informatics.","conda","false","false"
"GetOrganelle","1.7.5.0-conda","de-novo-assembly","Sequence assembly,Model organisms,Whole genome sequencing,Plant biology,Cell biology","https://github.com/Kinggerm/GetOrganelle","A fast and versatile toolkit for accurate de novo assembly of organelle genomes.","conda","false","false"
"gfa1","2faeed2-shell","data-handling","Bioinformatics","https://github.com/lh3/gfa1","A command-line tool as well as a library in C that parses, validates and transforms assembly graphs in a dialect of the GFA1 format","shell","false","false"
"GFA to FASTA","0.1.2-shell","data-handling","Sequence assembly","http://gfa-spec.github.io/GFA-spec/","Converting GFA format to Fasta format","shell","true","false"
"gfatools","0.4-conda","data-handling","Bioinformatics","https://github.com/lh3/gfa1","A command-line tool as well as a library in C that parses, validates and transforms assembly graphs in a dialect of the GFA1 format","conda","false","false"
"gffcompare","0.11.2-conda","sequence-annotation","Nucleic acids,Sequence analysis","https://ccb.jhu.edu/software/stringtie/gff.shtml","Program for comparing, annotating, merging and tracking transcripts in GFF files.","conda","false","false"
"gffread","0.12.7-conda","sequence-annotation","Nucleic acids,Sequence analysis","https://ccb.jhu.edu/software/stringtie/gff.shtml","program for filtering, converting and manipulating GFF files","conda","false","false"
"gfftobed","1.3-shell","data-handling","Bioinformatics","https://github.com/jacobbierstedt/gfftobed","Convert GFF3/GTF to BED","shell","false","false"
"GLnexus","1.2.7-singularity","variant-calling","Comparative genomics","https://github.com/dnanexus-rnd/GLnexus","Scalable gVCF merging and joint variant calling for population sequencing projects.","singularity","false","false"
"gmap","2021.08.25-conda,2020.06.01-conda","genetic-mapping","Mapping","http://research-pub.gene.com/gmap/","Genomic Mapping and Alignment Program for mRNA and EST Sequences.","conda","false","false"
"GMCloser","1.6-docker","scaffold-gap-completion","Sequence analysis,Sequence assembly,DNA,Sequencing","http://sourceforge.net/projects/gmcloser/","Fill and close the gaps present in scaffold assemblies, especially those generated by the de novo assembly of whole genomes with next-generation sequencing (NGS) reads.","docker","false","false"
"gmove","b0b2ada-singularity","gene-prediction","RNA-Seq,Genomics","http://www.genoscope.cns.fr/gmove","Gmove is a genome annotation tool. This combiner takes as input mapping of RNA-seq or protein or ab initio data.","singularity","false","false"
"Gnuplot","5.4.2-shell","data-visualisation","Data visualisation","http://www.gnuplot.info/","a portable command-line driven graphing utility.","shell","false","false"
"goenrichment","2.0.1-conda","gene-set-enrichment-analysis","Transcriptomics","https://github.com/DanFaria/GOEnrichment","GOEnrichment is a tool for performing GO enrichment analysis of gene sets, such as those obtained from RNA-seq or Microarray experiments, to help characterize them at the functional level. It is available in Galaxy Europe and as a stand-alone tool.","conda","true","false"
"google-cloud-sdk","322.0.0-conda","data-handling","Bioinformatics","https://cloud.google.com/sdk/docs","Command-line interface for Google Cloud Platform products and services","conda","false","false"
"goseq","1.44.0-conda","gene-functional-annotation","RNA-seq","http://bioconductor.org/packages/release/bioc/html/goseq.html","Detect Gene Ontology and/or other user defined categories which are over/under represented in RNA-seq data.","conda","true","false"
"goslimmer","1.0-conda","gene-set-enrichment-analysis","Transcriptomics","https://github.com/DanFaria/GOEnrichment","GOSlimmer transforms GO Annotations to slimmed versions of GO (GOSlimmer tool from the goenrichment package )","conda","true","false"
"gowinda","1.12-docker","gene-set-enrichment-analysis","Population genetics,Genomics,Population genomics,Sequencing","http://code.google.com/p/gowinda/","Gowinda: unbiased analysis of gene set enrichment for Genome Wide Association Studies","docker","false","false"
"GraphBin","1.3-conda,1.1-conda","sequence-assembly","Mapping,Sequence assembly,Sequencing,Microbial ecology,Metagenomics","https://github.com/Vini2/GraphBin","Refined binning of metagenomic contigs using assembly graphs.","conda","false","false"
"GSAlign","1.0.22-conda","genome-indexing","Structure analysis,Genomics,Sequence analysis,Sequencing","https://github.com/hsinnan75/GSAlign","An efficient sequence alignment tool for intra-species genomes.","conda","false","false"
"Collapse Collection","5.1.0-conda","data-handling","Bioinformatics","https://toolshed.g2.bx.psu.edu/repository?repository_id=7bd57763926b9cbf","Collection tool that collapses a list of files into a single datasset in order of appears in collection","conda","true","false"
"Collection Elements Identifiers","0.0.2-shell","data-handling","Bioinformatics","https://github.com/galaxyproject/tools-iuc/blob/master/tools/collection_element_identifiers/collection_element_identifiers.xml","Extract element identifiers of a collection","shell","true","false"
"Column Maker","2.0-conda","data-handling","Bioinformatics","https://github.com/galaxyproject/tools-iuc/blob/master/tools/column_maker/column_maker.xml","A Galaxy tool to compute an expression for every row of a dataset and appends the result as a new column","conda","true","false"
"Deg Annotate","1.0-conda","differential-gene-expression-analysis","Transcriptomics","https://github.com/galaxyproject/tools-iuc/tree/master/tools/deg_annotate","This tool appends the output table of DESeq2/edgeR/limma/DEXSeq with gene symbols, biotypes, positions etc","conda","true","false"
"Filter sequences by length","1.2-conda","data-handling","Bioinformatics","https://github.com/galaxyproject/tools-devteam/blob/main/tools/fasta_filter_by_length/fasta_filter_by_length.xml","Outputs sequences between Minimal length and Maximum length","conda","true","false"
"Gene length and GC content","0.1.2-conda","data-handling","Bioinformatics","https://github.com/galaxyproject/tools-iuc/blob/master/tools/length_and_gc_content","This galaxy tool calculates the length and/or GC content for the genes in a GTF file","conda","true","false"
"Table Compute","1.2.4-conda","data-handling","Bioinformatics","","A Galaxy wrapper to perform general-purpose table operations","conda","true","false"
"Galaxy Text Manipulation","1.0-shell","editing","Bioinformatics","https://github.com/bgruening/galaxytools/tree/master/tools/text_processing/text_processing","Galaxy wrappers for common unix text-processing tools","shell","true","false"
"GTDB-Tk","2.1.0-conda,2.0.0-conda,1.5.0-conda,1.4.1-conda,1.1.0-conda,1.0.2-conda","genome-alignment","Database management,Proteins,Phylogenetics,Taxonomy,Metagenomics","https://github.com/ecogenomics/gtdbtk","a toolkit to classify genomes with the Genome Taxonomy Database.","conda","false","false"
"Convert GTF to BED12","357-conda","data-handling","Bioinformatics","http://genome-source.cse.ucsc.edu/gitweb/?p=kent.git;a=blob;f=src/userApps/README","Convert GTF files to BED12 format using the UCSC Kent Bioinformatics utiltities","conda","true","false"
"gubbins","3.3-conda","genotyping","Whole genome sequencing,Genotype and phenotype,Phylogeny","https://github.com/sanger-pathogens/gubbins","Gubbins is a tool for rapid phylogenetic analysis of large samples of recombinant bacterial whole genome sequences.","conda","false","false"
"guppy","6.4.2-bash,4.5.3-shell,3.6.0-shell","sequence-visualisation","Genomics,Genetics,Data visualisation,Sequencing","http://staff.aist.go.jp/yutaka.ueno/guppy/","Program to visualize sequence annotation data of the genetic sequence data with graphical layout. This highly interactive program allows scrolling and zooming from the genomic landscape to discrete nucleic acid sequences. Its main function is quick rendering of data on a standalone personal computer to save the layout as a parsonal file. With optional link to the internet resources, and printing support, this program tries to make more greater use of computational media in research actitiviy.","bash,shell","false","false"
"hap.py","v0.3.12-singularity","variant-calling","DNA polymorphism,Genomics","https://github.com/Illumina/hap.py","This is a set of programs based on htslib to benchmark variant calls against gold standard truth datasets.","singularity","false","false"
"HatCUT2","2-conda","genome-assembly","Sequence assembly","https://github.com/vibansal/HapCUT2/blob/master/README.md","Robust and accurate haplotype assembly for diverse sequencing technologies","conda","false","false"
"hapflk","1.3.0-conda","sequence-feature-detection,genotyping","Population genetics,Genetics,Genotype and phenotype,Genotyping experiment","https://forge-dga.jouy.inra.fr/projects/hapflk","Software for the detection of selection signatures based on multiple population genotyping data.","conda","false","false"
"Haploclique","1.3.1-conda","sequence-assembly","Genetics,Virology,Sequencing","https://github.com/cbg-ethz/haploclique","Computational approach to reconstruct the structure of a viral quasispecies from next-generation sequencing data as obtained from bulk sequencing of mixed virus samples.","conda","false","false"
"HaploConduct","0.2.1-conda","genome-assembly","Sequence assembly","https://github.com/haploconduct/haploconduct","Haplotype-aware genome assembly toolkit ","conda","false","false"
"Haploflow","1.0-conda","genome-assembly","Sequence assembly","https://github.com/hzi-bifo/Haploflow","a strain-aware viral genome assembler for short read sequence data.","conda","false","false"
"hapog","1.3.2-conda","genome-assembly","Genomics,Sequence assembly","https://github.com/institut-de-genomique/HAPO-G","Hapo-G is a tool that aims to improve the quality of genome assemblies by polishing the consensus with accurate reads. It capable of incorporating phasing information from high-quality reads (short or long-reads) to polish genome assemblies and in particular assemblies of diploid and heterozygous genomes.","conda","false","false"
"HASLR","0.8a1-conda","genome-assembly","Mapping,Sequence assembly,Sequencing","https://github.com/vpc-ccg/haslr","Fast Hybrid Assembly of Long Reads.","conda","false","false"
"helixer","0.3.0-singularity","gene-prediction","Gene transcripts,Sequence analysis","https://github.com/weberlab-hhu/Helixer","Deep Learning to predict gene annotations","singularity","false","false"
"HHsuite","3.0-beta.3-shell","sequence-analysis","Proteins","https://github.com/soedinglab/hh-suite","HH-suite is a remote protein homology detection suite.","shell","false","false"
"hifiasm-meta","0.3.1-conda","sequence-assembly","Metagenomics,Sequence assembly","https://github.com/xfengnefx/hifiasm-meta","Hifiasm_meta - de novo metagenome assembler, based on hifiasm, a haplotype-resolved de novo assembler for PacBio Hifi reads.","conda","false","false"
"hifiasm","0.18.9-bash,0.18.5-bash,0.16.1-shell,0.16-shell,0.15.4-shell,0.15.2-shell,0.15-shell,0.14.2-shell,0.14-conda,0.13-conda,0.11-shell","genome-assembly","Sequence assembly","https://github.com/chhylp123/hifiasm","Hifiasm: a haplotype-resolved assembler for accurate Hifi reads","bash,shell,conda","false","false"
"hiline","0.2.4-conda","read-mapping","Mapping,Epigenetics","https://github.com/wtsi-hpag/HiLine","HiC alignment and classification pipeline","conda","false","false"
"HISAT2","2.2.1-conda,2.1.0-conda,2.0.5-conda","sequence-alignment","RNA-seq","https://ccb.jhu.edu/software/hisat2/index.shtml","Alignment program for mapping next-generation sequencing reads (both DNA and RNA) to a population of human genomes (as well as to a single reference genome).","conda","false","false"
"HMMER (mpi)","3.3-shell","sequence-similarity-search","Bioinformatics","http://hmmer.org/","Biosequence analysis using profile hidden Markov models","shell","false","false"
"HMMER","3.3.2-conda,3.3-conda,3.2.1-conda","sequence-similarity-search","Bioinformatics","http://hmmer.org/documentation.html","biosequence analysis using profile hidden Markov models","conda","false","false"
"Homopolish","0.3.2-conda","sequence-assembly","Model organisms,Sequence assembly,Machine learning,Metagenomics","https://github.com/ythuang0522/homopolish","Homopolish is a method for the removal of systematic errors in nanopore sequencing by homologous polishing.","conda","false","false"
"HPG-Methyl","3.2.5-conda","read-mapping","Epigenetics","https://github.com/grev-uv/hpg-methyl","ultrafast and highly sensitive Next-Generation Sequencing (NGS) read mapper and methylation context extractor","conda","false","false"
"HTSeq-count","0.9.1-conda,0.6.1-conda,0.13.5-conda","rna-seq-quantification","Transcriptomics","http://htseq.readthedocs.io/","Counts for each gene how many reads map to it","conda","true","false"
